Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
97,24.04605584,-10.40767608,4.065228611,-1.673766666e-07,6.237620329,4.890769292e-09,24.02276536,-38.94874709,11.82295009,3.03833537e-07,27.24227423,5.279900103e-06
98,24.50149943,-10.41111174,4.065778355,-1.541139808e-07,6.239622952,4.503231783e-09,24.47801232,-38.94831534,11.82145825,2.797582055e-07,27.24431615,4.861528429e-06
99,24.9411641,-10.41442837,4.066309053,-1.413107833e-07,6.241556195,4.129120586e-09,24.91748716,-38.94789855,11.8200181,2.565169685e-07,27.24628733,4.457651323e-06
100,25.3646346,-10.41762284,4.066820203,-1.289791659e-07,6.24341823,3.768789023e-09,25.34077482,-38.94749711,11.81863099,2.341317757e-07,27.2481859,4.068650218e-06
101,25.7714957,-10.42069202,4.067311306,-1.171312203e-07,6.245207232,3.422590419e-09,25.74746025,-38.94711141,11.81729829,2.126245771e-07,27.25001001,3.694906552e-06
102,26.16133216,-10.42363277,4.067781858,-1.057790384e-07,6.246921376,3.090878097e-09,26.1371284,-38.94674185,11.81602135,1.920173226e-07,27.25175779,3.33680176e-06
103,26.53372875,-10.42644197,4.06823136,-9.493471197e-08,6.248558835,2.774005383e-09,26.50936421,-38.94638883,11.81480154,1.723319618e-07,27.25342738,2.994717279e-06
104,26.88827024,-10.42911647,4.06865931,-8.461033281e-08,6.250117784,2.472325599e-09,26.86375263,-38.94605273,11.81364022,1.535904449e-07,27.25501692,2.669034543e-06
105,27.22454139,-10.43165315,4.069065206,-7.48179927e-08,6.251596396,2.18619207e-09,27.19987859,-38.94573395,11.81253874,1.358147215e-07,27.25652455,2.36013499e-06
106,27.54212696,-10.43404887,4.069448548,-6.556978345e-08,6.252992847,1.915958119e-09,27.51732704,-38.94543289,11.81149846,1.190267415e-07,27.2579484,2.068400055e-06
107,27.84061173,-10.43630051,4.069808835,-5.687779685e-08,6.254305309,1.661977072e-09,27.81568293,-38.94514993,11.81052075,1.032484548e-07,27.25928662,1.794211174e-06
